GEOID,TRACTCE,NAME,total_population,pct_white,pct_black,pct_asian,pct_indian,pct_hawaiian,pct_two_or_more_races,pct_hispanic,pct_female,pct_young_adults_20_34,pct_zero_car_ownership,unemployment_rate,pct_bachelors_plus,pct_drive_alone,pct_bike_to_work,pct_walk_to_work,housing_density,per_capita_income,land_area_sq_meters,population_density_sq_meter,housing_density_sq_meter
17031170800,170800,1708,4016,62.45,6.37,6.3,0.6,0.25,11.7,37.28,49.03,16.98,6.94,6.98,27.73,73.67,0.0,0.0,1553,40975.0,730334,0.005499,0.002126
17031251400,251400,2514,3269,13.95,84.43,0.0,0.0,0.0,1.01,4.99,54.11,20.95,52.39,23.51,17.44,67.98,0.0,0.0,2221,26686.0,688028,0.004751,0.003228
17031260300,260300,2603,1615,2.91,87.68,0.0,0.0,0.0,0.12,10.59,41.8,28.79,27.72,25.0,6.67,66.46,0.0,2.06,660,18155.0,329187,0.004906,0.002005
17031260500,260500,2605,1594,0.94,98.93,0.0,0.13,0.0,0.0,2.57,58.34,22.21,33.5,21.13,23.8,64.88,0.0,0.0,755,19228.0,337553,0.004722,0.002237
17031260600,260600,2606,2115,1.28,96.74,0.66,0.0,0.0,1.32,1.32,44.3,21.37,20.75,39.58,17.97,65.1,0.0,0.0,908,17918.0,318825,0.006634,0.002848
17031260700,260700,2607,1216,1.4,86.84,0.0,0.0,0.0,0.0,16.37,53.62,17.11,15.5,19.41,22.72,72.68,0.0,0.0,645,23408.0,329201,0.003694,0.001959
17031260800,260800,2608,1782,5.33,93.1,0.0,0.0,0.0,1.57,0.39,50.67,20.59,44.89,31.2,12.6,72.12,0.0,0.0,998,20857.0,328945,0.005417,0.003034
17031050700,050700,507,1484,84.7,0.34,1.95,0.0,0.0,12.2,11.73,53.71,35.58,12.88,4.51,89.05,30.98,1.25,5.61,764,84412.0,164326,0.009031,0.004649
17031050900,050900,509,1542,82.68,1.56,3.31,0.0,0.0,7.52,15.56,54.47,23.15,23.72,0.0,77.49,50.62,0.0,2.48,729,90163.0,162724,0.009476,0.00448
17031051000,051000,510,1665,74.77,6.13,8.95,0.0,0.0,7.99,8.53,50.03,21.14,6.04,1.41,86.96,41.36,0.0,3.45,758,107049.0,166636,0.009992,0.004549
17031051100,051100,511,1864,73.39,0.38,5.2,0.0,0.0,17.27,19.96,57.08,26.66,4.34,3.45,84.63,43.48,1.4,1.22,831,78511.0,162702,0.011457,0.005107
17031051200,051200,512,1565,81.98,2.68,4.22,0.96,0.0,8.63,9.07,50.42,38.91,17.21,5.05,88.1,31.94,0.84,9.5,678,102101.0,164547,0.009511,0.00412
17031170900,170900,1709,1922,44.64,3.43,0.78,0.57,0.0,33.19,57.02,52.34,24.97,10.03,15.29,31.04,72.68,0.0,1.01,669,26633.0,320579,0.005995,0.002087
17031171000,171000,1710,6274,58.05,1.72,11.68,0.92,0.0,15.91,37.63,53.0,16.99,6.64,7.06,41.85,63.36,0.0,1.64,3095,43086.0,1393039,0.004504,0.002222
17031171100,171100,1711,4144,56.68,2.9,4.83,1.86,0.0,15.32,53.6,54.3,19.62,6.03,1.41,22.84,64.68,0.0,0.56,1369,34371.0,666147,0.006221,0.002055
17031180100,180100,1801,6875,47.78,5.98,2.62,0.0,0.0,14.37,52.35,56.97,17.6,4.15,1.75,36.6,83.42,0.0,0.0,2387,41125.0,1068354,0.006435,0.002234
17031190100,190100,1901,2403,27.55,2.41,0.92,0.0,0.0,31.21,86.18,47.19,20.35,33.02,7.37,24.8,64.94,0.0,5.41,908,26654.0,316148,0.007601,0.002872
17031222200,222200,2222,2183,86.76,0.92,2.98,0.73,0.0,8.2,7.88,53.78,32.89,14.44,1.17,89.96,30.86,0.14,1.28,1074,116500.0,231074,0.009447,0.004648
17031222500,222500,2225,1374,74.45,2.91,3.86,4.59,1.38,9.02,21.91,50.15,38.86,11.66,2.65,77.58,46.38,3.73,1.1,657,71467.0,160675,0.008551,0.004089
17031222600,222600,2226,1552,58.96,5.54,4.7,0.26,0.0,20.81,31.25,46.65,38.72,23.08,5.46,69.03,33.46,6.05,5.41,824,63894.0,160604,0.009664,0.005131
17031251500,251500,2515,4526,6.54,74.75,1.7,1.33,0.0,4.75,22.29,51.61,25.65,33.93,24.57,16.75,50.9,0.0,4.81,1589,23977.0,683926,0.006618,0.002323
17031251600,251600,2516,4418,11.52,64.53,0.0,0.0,0.0,20.21,24.31,63.31,14.83,36.44,13.75,19.18,52.94,0.0,0.07,1428,16021.0,480786,0.009189,0.00297
