h3_index,lat,lng
882664c84bfffff,41.91326224163271,-87.7455121762194
882664c84dfffff,41.921787225878276,-87.76171648022537
882664c851fffff,41.89827210138172,-87.73598856058628
882664c853fffff,41.890777612906625,-87.73122898595423
882664c855fffff,41.899302913701106,-87.74742334151509
882664c857fffff,41.89180891751389,-87.74266194079668
882664c859fffff,41.904735506750015,-87.72931320154079
882664c85bfffff,41.89724013813376,-87.72455396516222
882664c85dfffff,41.90576697775356,-87.74074962379713
882664c861fffff,41.909881347686,-87.78649715559372
882664c865fffff,41.91090706130822,-87.79793449470074
882664c869fffff,41.916348266026944,-87.77982803031043
882664c86bfffff,41.908854482451616,-87.77505999804278
882664c86dfffff,41.91737463700476,-87.79126701383224
882664c881fffff,41.84142786516108,-87.7322147036372
882664c883fffff,41.83393796313536,-87.72746154779126
882664c889fffff,41.84788620278344,-87.72554696426371
882664c88bfffff,41.84039542031564,-87.72079414608997
882664c88dfffff,41.848918157090594,-87.73696934428506
882664c891fffff,41.825415026579684,-87.71129296224613
882664c893fffff,41.81792541608676,-87.70654459531637
