station_id,station_name,poi_tourism,poi_education,poi_medical,poi_shop,poi_leisure
13379,Clarendon Ave & Gordon Ter,2,2,3,29,0
13389,Clarendon Ave & Junior Ter,4,0,2,18,0
13398,Blackstone Ave & Hyde Park Blvd,2,0,1,32,0
13409,Sangamon St & Washington Blvd,5,0,5,73,0
13420,MLK Jr Dr & Pershing Rd,0,0,0,1,0
13427,Cityfront Plaza Dr & Pioneer Ct,34,1,7,75,0
13430,LaSalle St & Illinois St,21,1,3,48,0
13431,Adler Planetarium,4,0,0,0,0
13432,Wood St & Hubbard St,1,1,0,6,0
13434,Ashland Ave & Grand Ave,1,1,0,5,0
1523185.1,Mason Ave & Grand Ave,0,0,0,1,0
1524189,Lowell Ave & Armitage,0,1,0,2,0
15442,Ashland Ave & Archer Ave,0,0,0,11,0
15443,Shields Ave & 28th Pl,0,0,0,4,0
15445,Wentworth Ave & 33rd St,2,1,0,5,0
15446,Racine Ave & 35th St,1,0,0,2,0
15449,State St & Pershing Rd,0,3,0,3,0
15470,Calumet Ave & 51st St,3,2,1,3,0
15491,63rd St Beach,4,0,0,0,0
15529,Mies van der Rohe Way & Chestnut St,13,2,2,130,0
15530,Rush St & Superior St,20,1,4,156,0
15534,Field Blvd & South Water St,10,1,1,5,0
15535,Desplaines St & Randolph St,3,0,3,49,0
15539,Desplaines St & Jackson Blvd,10,3,4,39,0
15541,Buckingham Fountain,28,1,1,6,0
15541.1.1,Buckingham - Fountain,31,1,1,7,0
15542,Clinton St & Polk St,4,0,1,24,0
15544,Shedd Aquarium,16,0,0,0,0
15545,Burnham Harbor,5,0,0,1,0
15546,Calumet Ave & 21st St,2,1,0,3,0
15550,Canal St & Taylor St,3,0,2,35,0
15571,Broadway & Granville Ave,4,0,0,13,0
15575,Broadway & Thorndale Ave,0,0,1,5,0
15576,Lakefront Trail & Bryn Mawr Ave,1,0,0,4,0
15578,Broadway & Ridge Ave,0,0,2,19,0
15585,Budlong Woods Library,0,2,0,1,0
15597,Halsted St & 69th St,0,0,0,2,0
15599,Calumet Ave & 71st St,1,3,0,4,0
15615,Christiana Ave & Lawrence Ave,5,2,1,14,0
15621,Albany Ave & Montrose Ave,0,0,0,6,0
15622,California Ave & Montrose Ave,6,0,0,4,0
15623,Campbell Ave & Montrose Ave,4,1,0,4,0
